CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
053042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIE,35470 WHITEWOOD RD,-,MURRIETA,CA,92563,Riverside,(951) 246-6500,9,For profit,03/13/2020
053043,PALOMAR REHABILITATION INSTITUTE,2181 WEST CITRACADO PARKWAY,-,ESCONDIDO,CA,92029,San Diego,(502) 596-6505,9,Non-profit,06/10/2021
053044,CENTRAL CALIFORNIA REHABILITATION HOSPITAL,4400 KIRKCALDY DR,-,BAKERSFIELD,CA,93306,Kern,(661) 871-3911,9,For profit,04/08/2022
053045,SACRAMENTO REHABILITATION HOSPITAL,10 ADVANTAGE COURT,-,SACRAMENTO,CA,95834,Sacramento,(916) 628-8301,9,For profit,03/25/2023
053046,UC DAVIS REHABILITATION HOSPITAL,4875 BROADWAY,-,SACRAMENTO,CA,95820,Sacramento,(916) 734-2777,9,For profit,04/24/2023
053047,STOCKTON REGIONAL REHABILITATION HOSPITAL,607 E MAGNOLIA STREET,-,STOCKTON,CA,95202,San Joaquin,(717) 620-2424,9,For profit,07/14/2023
05T008,CALIFORNIA PACIFIC REGIONAL REHABILITATION CENTER,P O BOX 7999,-,SAN FRANCISCO,CA,94120,San Francisco,(415) 600-6153,9,Non-profit,01/01/1996
05T009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,-,NAPA,CA,94558,Napa,(707) 252-4411,9,Non-profit,07/01/1995
05T017,MERCY GENERAL HOSPITAL,4001 J STREET,-,SACRAMENTO,CA,95819,Sacramento,(916) 453-4531,9,Non-profit,04/01/1986
05T024,SOUTH BAY REHABILITATION CTR,2400 EAST 4TH STREET,-,NATIONAL CITY,CA,91950,San Diego,(619) 472-4705,9,For profit,01/01/1989
05T026,GROSSMONT HOSPITAL SHARP,5555 GROSSMONT CENTER DRIVE,-,LA MESA,CA,91942,San Diego,(858) 939-3152,9,Government,07/01/1984
05T038,SANTA CLARA VALLEY MEDICAL CENTER,751 S BASCOM AVE,2325 ENBORG LN SUITE 340,SAN JOSE,CA,95128,Santa Clara,(408) 885-2030,9,Government,07/01/1993
05T039,ENLOE REHABILITATION CENTER,1531 ESPLANADE,-,CHICO,CA,95926,Butte,(530) 332-6102,9,Non-profit,07/01/1998
05T043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,2ND FLOOR,OAKLAND,CA,94609,Alameda,(510) 869-6329,9,Non-profit,01/01/2015
05T057,KAWEAH DELTA REHABILITATION HOSPITAL,840 S. AKERS RD,-,VISALIA,CA,93277,Tulare,(559) 624-3857,9,Government,07/01/1994
05T058,GLENDALE MEMORIAL HOSPITAL,1420 S. CENTRAL AVE,-,GLENDALE,CA,91204,Los Angeles,(502) 596-6346,9,Non-profit,10/01/1983
05T060,LEON S PETERS REHABILATION,2823 FRESNO ST,-,FRESNO,CA,93721,Fresno,(559) 459-6405,9,Non-profit,09/01/1984
05T063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N. VERMONT AVENUE,-,LOS ANGELES,CA,90027,Los Angeles,(213) 413-3000,9,For profit,07/01/1992
05T073,KAISER FOUNDATION REHAB CENTER,975 SERENO DR.,-,VALLEJO,CA,94589,Solano,(707) 651-4097,9,Non-profit,02/11/1993
05T078,PROVIDENCE LITTLE CO OF MARY MEDICAL CTR SAN PEDRO,1300 W. SEVENTH STREET,-,SAN PEDRO,CA,90732,Los Angeles,(310) 514-5402,9,Non-profit,01/01/1984
05T082,ST JOHNS REGIONAL MEDICAL CENTER,1600 NORTH ROSE AVENUE,-,OXNARD,CA,93030,Ventura,(805) 988-2658,9,Non-profit,07/01/1992
05T100,SHARP MEMORIAL REHABILITATION CENTER,2999 HEALTH CENTER DRIVE,-,SAN DIEGO,CA,92123,San Diego,(858) 939-3152,9,Non-profit,10/01/1983
05T103,WHITE MEMORIAL MEDICAL CENTER,1720 EAST CESAR CHAVEZ AVENUE,-,LOS ANGELOS,CA,90033,Los Angeles,(323) 268-5000,9,Non-profit,01/01/1984
05T107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH STREET,-,SANTA MARIA,CA,93454,Santa Barbara,(502) 596-6346,9,Non-profit,01/10/2013
05T116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD.,-,NORTHRIDGE,CA,91328,Los Angeles,(818) 885-8500,9,Non-profit,07/01/1984
05T126,VALLEY PRESBYTERIAN HOSPITAL REHABILITATION CENTER,15107 VANOWEN STREET,-,VAN NUYS,CA,91405,Los Angeles,(502) 596-6346,9,Non-profit,11/01/1994
05T128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,-,OCEANSIDE,CA,92056,San Diego,(760) 940-7868,9,Government,07/01/1986
05T135,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,3828 DELMAS TERRACE,-,CULVER CITY,CA,90231,Los Angeles,(310) 202-4777,9,For profit,01/01/2013
05T145,COMM HOSP MONTEREY PENINSULA,23625 HOLMAN HWY,-,MONTEREY,CA,93940,Monterey,(831) 625-4748,9,Non-profit,01/01/2014
05T152,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST,-,SAN FRANCISCO,CA,94109,San Francisco,(415) 353-6764,9,Non-profit,03/31/1995
05T158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,-,ENCINO,CA,91436,Los Angeles,(805) 558-8560,9,For profit,12/01/1994
05T168,ST. JUDE MEDICAL CENTER,101 E. VALENCIA MESA DRIVE,P.O. BOX 4138,FULLERTON,CA,92835,Orange,(714) 578-8706,9,Non-profit,07/01/1984
05T169,PRESBYTERIAN INTERCOMMUNITY,12401 WASHINGTON BLVD,-,WHITTIER,CA,90602,Los Angeles,(562) 698-0811,9,Non-profit,11/01/1992
05T174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR.,-,SANTA ROSA,CA,95405,Sonoma,(707) 547-5486,9,Non-profit,02/01/2000
05T180,JOHN MUIR MEDICAL CENTER,1601 YGNACIO VALLEY ROAD,-,WALNUT CREEK,CA,94598,Contra Costa,(925) 947-5252,9,Non-profit,01/05/1986
05T191,ST MARY MEDICAL CENTER,1050 LINDEN AVE,-,LONG BEACH,CA,90813,Los Angeles,(562) 491-9170,9,Non-profit,07/01/1984
05T204,PALMDALE REGIONAL MEDICAL CTR,38600 MEDICAL CENTER DR,-,PALMDALE,CA,93551,Los Angeles,(661) 382-6260,9,For profit,01/01/2017
05T224,THE FUDGE FAMILY ACUTE REHABILITATION CENTER,1 HOAG DRIVE,-,NEWPORT BEACH,CA,92663,Orange,(949) 764-3900,9,Non-profit,01/01/2019
05T235,PROVIDENCE ST JOSEPH MED CTR,501 S BUENA VISTA ST,-,BURBANK,CA,91505,Los Angeles,(818) 847-3200,9,Non-profit,01/01/1994
05T236,SIMI VALLEY HOSPITAL & HEALTH CARE SVC,2975 NORTH SYCAMORE DRIVE,-,SIMI VALLEY,CA,93065,Ventura,(805) 955-6000,9,Non-profit,01/01/1984
05T238,METHODIST HOSP S CALIFORNIA,300 W HUNTINGTON DR,-,ARCADIA,CA,91007,Los Angeles,(412) 209-8936,9,Non-profit,01/01/1985
05T239,ADVENTIST HEALTH - GLENDALE,1509 WILSON TERRACE,-,GLENDALE,CA,91206,Los Angeles,(818) 409-8071,9,Non-profit,01/01/1984
05T242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,-,SANTA CRUZ,CA,95065,Santa Cruz,(831) 462-7300,9,Non-profit,06/01/1993
05T243,DESERT REGIONAL MEDICAL CENTER,1150 N. INDIAN CANYON DR,-,PALM SPRINGS,CA,92263,Riverside,(760) 323-6585,9,For profit,05/20/2001
05T248,SAM KARAS ARU - NATIVIDAD,1441 CONSTITUTION BOULEVARD,-,SALINAS,CA,93906,Monterey,(502) 596-6346,9,Government,07/01/2003
05T262,UCLA MED CTR,760 WESTWOOD PLAZA,-,LOS ANGELES,CA,90095,Los Angeles,(310) 825-5708,9,Government,07/01/1996
05T281,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S. RAYMOND AVENUE,-,ALHAMBRA,CA,91801,Los Angeles,(626) 458-4767,9,For profit,07/01/1999
05T283,VALLEY MEMORIAL HOSPITAL,1111 EAST STANLEY BLVD.,-,LIVERMORE,CA,94550,Alameda,(925) 373-4183,9,Non-profit,07/01/2003
05T308,EL CAMINO HOSP OF LOS GATOS,355 DARDANELLI,-,LOS GATOS,CA,95032,Santa Clara,(502) 596-6346,9,Government,07/01/2010
05T309,SUTTER ROSEVILLE MEDICAL CENTER,6 MEDICAL PLAZA DRIVE,-,ROSEVILLE,CA,95661,Placer,(916) 878-2660,9,Non-profit,01/01/2009
05T320,FAIRMONT HOSPITAL,15400 FOOTHILL BLVD,-,SAN LEANDRO,CA,94578,Alameda,(502) 596-6346,9,Government,07/01/1985
05T327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON ST.,-,LOMA LINDA,CA,92354,San Bernardino,(909) 558-6167,9,Non-profit,01/01/2005
05T336,ADVENTIST HEALTH LODI MEMORIAL,975 SOUTH FAIRMONT AVE,-,LODI,CA,95240,San Joaquin,(209) 334-3411,9,Non-profit,06/01/1988
05T348,UNIV OF CA IRVINE MED CTR,101 THE CITY DRIVE,-,ORANGE,CA,92868,Orange,(714) 456-5749,9,Government,07/01/1991
05T380,GOOD SAMARITAN HOSPITAL,15891 LOS-GATOS-ALMADEN ROAD,-,SAN JOSE,CA,95032,Santa Clara,(408) 358-5611,9,For profit,02/01/2006
05T382,QUEEN OF THE VALLEY HOSPITAL,1115 S. SUNSET AVENUE,-,WEST COVINA,CA,91790,Los Angeles,(626) 962-4011,9,For profit,01/01/2008
05T396,COTTAGE REHABILITATION HOSPITAL,PO BOX 689,-,SANTA BARBARA,CA,93105,Santa Barbara,(805) 569-7395,9,Non-profit,01/01/2008
05T417,SUTTER COAST HOSPITAL,800 EAST WASHINGTON BLVD,-,CRESCENT CITY,CA,95531,Del Norte,(502) 596-6346,9,Government,01/01/2016
05T438,HUNTINGTON HOSPITAL,100 W. CALIFORNIA BLVD,-,PASADENA,CA,91105,Los Angeles,(626) 397-2618,9,Non-profit,10/01/1983
05T441,STANFORD HOSPITAL & CLINICS,300 PASTEUR DR,-,PALO ALTO,CA,94305,Santa Clara,(650) 498-7804,9,Non-profit,09/01/1992
05T457,ST MARYS MEDICAL CENTER,450 STANYAN ST.,-,SAN FRANCISCO,CA,94117,San Francisco,(415) 668-1000,9,Non-profit,07/01/2005
05T471,GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BLVD,-,LOS ANGELES,CA,90017,Los Angeles,(502) 596-7152,9,For profit,09/02/1984
05T485,MEMORIACARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVENUE,-,LONG BEACH,CA,90806,Los Angeles,(562) 933-9074,9,Non-profit,10/01/1983
05T498,SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,-,AUBURN,CA,95603,Placer,(530) 889-6075,9,Non-profit,01/01/1988
05T549,LOS ROBLES HOSPITAL MEDICAL CENTER,150 VIA MERIDA,-,WESTLAKE VILLAGE,CA,91362,Ventura,(805) 370-4865,9,For profit,01/01/1999
05T567,MISSION HOSPITAL,27700 MEDICAL CENTER RD,-,MISSION VIEJO,CA,92691,Orange,(949) 365-2447,9,Non-profit,01/01/1993
05T580,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,-,LA PALMA,CA,90623,Orange,(714) 670-6209,9,For profit,01/01/1984
05T603,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 HEALTH CENTER DRIVE,-,LAGUNA HILLS,CA,92653,Orange,(949) 452-7025,9,Non-profit,03/17/2005
05T624,HENRY MAYO NEWHALL MEM HOSP,23834 MCBEAN PKWY,-,VALENCIA,CA,91355,Los Angeles,(661) 200-1538,9,Non-profit,10/01/1994
05T668,LAGUNA HONDA HOSPITAL,375 LAGUNA HONDA BLVD.,-,SAN FRANCISCO,CA,94116,San Francisco,(415) 682-5967,9,Government,03/28/1995
05T717,LAC/RANCHO LOS AMIGOS NATIONAL MED CTR,7601 E IMPERIAL HWY,-,DOWNEY,CA,90242,Orange,(562) 385-7913,9,Government,07/01/1997
05T737,GARFIELD MEDICAL CENTER,525 N. GARFIELD AVENUE,-,MONTEREY PARK,CA,91754,Los Angeles,(626) 307-2130,9,For profit,11/01/2004
05T739,CENTINELA HOSPITAL MEDICAL CTR,1101 MEDICAL CENTER BOULEVARD,-,INGLEWOOD,CA,90301,Los Angeles,(502) 596-6346,9,For profit,01/01/2013
05T782,CASA COLINA HOSP FOR REHAB MEDICINE,255 E BONITA AVE,PO BOX 6001,POMONA,CA,91769,Los Angeles,(909) 596-7733,9,Non-profit,04/01/2016
05TA46,KINDRED HOSPITAL PARAMOUNT,16453 COLORADO AVENUE,-,PARAMOUNT,CA,90723,Los Angeles,(562) 531-3110,9,For profit,01/14/2024
063027,HCA HEALTHONE SPALDING REHABILITATION,900 POTOMAC ST,-,AURORA,CO,80011,Arapahoe,(303) 367-1166,8,For profit,07/01/1984
063030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CO SPG,325 S PARKSIDE DR,-,COLORADO SPRINGS,CO,80910,El Paso,(719) 630-8000,8,For profit,01/16/1991
