CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date,Total Number of Beds
042009,REGENCY HOSPITAL OF NORTHWEST ARKANSAS,609 WEST MAPLE AVENUE,-,SPRINGDALE,AR,72764,Washington,(479) 713-7000,6,For profit,11/25/2003,25
042010,CORNERSTONE SPECIALTY HOSPITALS LITTLE ROCK,"2 ST VINCENT CIRCLE, 6TH FLOOR",-,LITTLE ROCK,AR,72205,Pulaski,(501) 265-0622,6,For profit,06/01/2007,40
042011,ADVANCED CARE HOSPITAL WHITE COUNTY,3214 E RACE AVENUE,-,SEARCY,AR,72143,White,(501) 278-3155,6,Non-profit,04/01/2008,27
042012,BAPTIST HEALTH EXTENDED CARE HOSPITAL-LR INC,"9601 BAPTIST HEALTH DRIVE, 1OTH FLOOR",-,LITTLE ROCK,AR,72205,Pulaski,(501) 202-1070,6,Non-profit,10/01/2008,55
052031,BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,-,LOS ANGELES,CA,90026,Los Angeles,(213) 250-4200,9,Non-profit,09/01/1984,99
052032,KINDRED HOSPITAL - LOS ANGELES,5525 W SLAUSON AVENUE,-,LOS ANGELES,CA,90056,Los Angeles,(310) 642-0325,9,For profit,01/29/1992,81
052033,VIBRA HOSPITAL OF SACRAMENTO,330 MONTROSE DRIVE,-,FOLSOM,CA,95630,Sacramento,(916) 351-9151,9,For profit,03/04/1992,58
052034,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,-,SAN LEANDRO,CA,94577,Alameda,(510) 357-8300,9,For profit,01/29/1993,99
052035,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,-,WESTMINSTER,CA,92683,Orange,(714) 893-4541,9,For profit,06/01/1993,109
052036,KINDRED HOSPITAL - SAN DIEGO,1940 EL CAJON BLVD,-,SAN DIEGO,CA,92104,San Diego,(619) 543-4500,9,For profit,06/01/1993,70
052037,KINDRED HOSPITAL ONTARIO,550 NORTH MONTEREY,-,ONTARIO,CA,91764,San Bernardino,(909) 391-0333,9,For profit,02/01/1995,91
052038,KINDRED HOSPITAL -- LA MIRADA,14900 E IMPERIAL HWY,-,LA MIRADA,CA,90638,Los Angeles,(562) 944-1900,9,For profit,11/01/1995,277
052039,KINDRED HOSPITAL BREA,875 N BREA BLVD,-,BREA,CA,92821,Orange,(714) 529-6842,9,For profit,12/01/1995,48
052043,KENTFIELD HOSPITAL,1125 SIR FRANCIS DRAKE BLVD,-,KENTFIELD,CA,94904,Marin,(415) 456-9680,9,For profit,07/01/1999,120
052044,SELECT SPECIALTY HOSPITAL - SAN DIEGO,555 WASHINGTON STREET,-,SAN DIEGO,CA,92103,San Diego,(619) 260-8300,9,For profit,04/01/2002,110
052045,KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,-,BALDWIN PARK,CA,91706,Los Angeles,(626) 388-2700,9,Non-profit,09/01/2004,95
052046,KINDRED HOSPITAL PARAMOUNT,16453 COLORADO AVENUE,-,PARAMOUNT,CA,90723,Los Angeles,(562) 531-3110,9,For profit,09/27/1995,177
052047,VIBRA HOSPITAL OF NORTHERN CALIFORNIA,2801 EUREKA WAY,-,REDDING,CA,96001,Shasta,(530) 246-9000,9,For profit,01/01/2006,56
052049,KINDRED HOSPITAL RANCHO,10841 WHITE OAK AVENUE,-,RANCHO CUCAMONGA,CA,91730,San Bernardino,(909) 581-6400,9,For profit,10/01/2006,55
052050,KINDRED HOSPITAL SOUTH BAY,1246 WEST 155TH STREET,-,GARDENA,CA,90247,Los Angeles,(310) 323-5330,9,For profit,10/01/2006,58
052052,KINDRED HOSPITAL RIVERSIDE,2224 MEDICAL CENTER DRIVE,-,PERRIS,CA,92571,Riverside,(951) 436-3535,9,For profit,01/01/2008,40
052054,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,-,MONROVIA,CA,91016,Los Angeles,(626) 408-9800,9,For profit,05/01/2009,49
052055,CENTRAL VALLEY SPECIALTY HOSPITAL,730 17TH STREET,-,MODESTO,CA,95354,Stanislaus,(209) 248-7700,9,For profit,08/28/2013,36
052057,SONOMA SPECIALTY HOSPITAL,501 PETALUMA AVENUE,-,SEBASTOPOL,CA,95472,Sonoma,(707) 823-8511,9,For profit,04/01/2019,37
062009,KINDRED HOSPITAL-DENVER,1920 N HIGH ST,-,DENVER,CO,80218,Denver,(303) 320-5871,8,For profit,02/01/1991,81
062011,CRAIG HOSPITAL,3425 S CLARKSON ST,-,ENGLEWOOD,CO,80113,Arapahoe,(303) 789-8000,8,Non-profit,10/01/1992,93
062012,PAM SPECIALTY HOSPITAL OF DENVER,1690 MEADE ST,-,DENVER,CO,80204,Denver,(303) 264-6900,8,Non-profit,04/01/1994,63
062013,KINDRED HOSPITAL AURORA,700 POTOMAC ST FL 2,-,AURORA,CO,80011,Arapahoe,(720) 857-8333,8,For profit,05/01/1998,37
062014,VIBRA HOSPITAL OF DENVER,8451 PEARL ST,-,THORNTON,CO,80229,Adams,(303) 288-3000,8,For profit,01/01/1999,54
062017,NORTHERN COLORADO LONG TERM ACUTE HOSPITAL,4401A UNION ST,-,JOHNSTOWN,CO,80534,Larimer,(970) 619-3400,8,For profit,03/01/2009,20
072003,GAYLORD HOSPITAL INC,GAYLORD FARM RD,-,WALLINGFORD,CT,06492,New Haven,(203) 284-2800,1,Non-profit,07/01/1966,137
072004,HOSPITAL FOR SPECIAL CARE,2150 CORBIN AVE,-,NEW BRITAIN,CT,06050,Hartford,(860) 223-2761,1,Non-profit,07/01/1966,228
082000,SELECT SPECIALTY HOSPITAL WILMINGTON,501 WEST 14TH STREET 9TH FLOOR,-,WILMINGTON,DE,19801,New Castle,(302) 295-9100,3,For profit,08/01/1999,35
092002,BRIDGEPOINT CONT CARE HOSPITAL - CAPITOL HILL,223 7TH STREET NE,-,WASHINGTON,DC,20002,District Of Columbia,(202) 546-5700,3,For profit,02/01/1996,60
092003,BRIDGEPOINT CONT CARE HOSPITAL - NAT HARBORSIDE,4601 MARTIN LUTHER KING JR AVENUE,-,WASHINGTON,DC,20032,District Of Columbia,(202) 574-5700,3,For profit,01/01/2002,82
102001,SELECT SPECIALTY HOSPITAL-MIAMI,955 NW 3RD STREET 8TH FLOOR,-,MIAMI,FL,33128,Miami-Dade,(305) 416-5700,4,For profit,09/01/2003,47
102003,SELECT SPECIALTY HOSPITAL - ORLANDO (SOUTH CAMPUS),5579 S ORANGE AVE,-,ORLANDO,FL,32809,Orange,(407) 241-4800,4,For profit,01/01/2004,99
102009,KINDRED HOSPITAL-BAY AREA-TAMPA,4555 S MANHATTAN AVE,-,TAMPA,FL,33611,Hillsborough,(813) 839-6341,4,For profit,11/01/1988,155
102010,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,1516 E LAS OLAS BLVD,-,FORT LAUDERDALE,FL,33301,Broward,(954) 764-8900,4,For profit,12/20/1988,238
102012,PAM HEALTH SPECIALTY HOSPITAL OF JACKSONVILLE,4901 RICHARD ST,-,JACKSONVILLE,FL,32207,Duval,(904) 425-0500,4,For profit,05/01/1993,107
102013,KINDRED HOSPITAL-CENTRAL TAMPA,4801 N HOWARD AVE,-,TAMPA,FL,33603,Hillsborough,(813) 874-7575,4,For profit,03/17/1993,102
102015,KINDRED HOSPITAL-NORTH FLORIDA,801 OAK ST,-,GREEN COVE SPRINGS,FL,32043,Clay,(904) 297-9505,4,For profit,12/01/1994,73
102017,SELECT SPECIALTY HOSPITAL - PANAMA CITY,615 N BONITA AVE,-,PANAMA CITY,FL,32401,Bay,(850) 473-4980,4,For profit,08/01/2004,30
102018,PAM SPECIALTY HOSPITAL OF SARASOTA,6150 EDGELAKE DR,-,SARASOTA,FL,34240,Sarasota,(941) 342-3200,4,Non-profit,04/01/2006,40
102019,KINDRED HOSPITAL OCALA,"1500 SW 1ST AVENUE, 5TH FLOOR",-,OCALA,FL,34474,Marion,(352) 369-0513,4,For profit,06/01/2006,31
102020,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,1554 SURGEONS DR,-,TALLAHASSEE,FL,32308,LEON,(850) 219-6800,4,For profit,03/01/2008,29
102021,BAYCARE ALLIANT HOSPITAL,601 MAIN ST,-,DUNEDIN,FL,34698,Pinellas,(727) 734-6782,4,Non-profit,03/06/2008,48
102022,SELECT SPECIALTY HOSPITAL GAINESVILLE INC,1600 SW ARCHER RD 5TH FLOOR,-,GAINESVILLE,FL,32610,Alachua,(352) 265-0055,4,For profit,08/01/2008,44
102023,SELECT SPECIALTY HOSPITAL-PALM BEACH,3060 MELALEUCA LANE,-,LAKE WORTH,FL,33461,Palm Beach,(561) 357-7370,4,For profit,12/01/2008,60
102024,SELECT SPECIALTY HOSPITAL PENSACOLA,7000 COBBLE CREEK DR,-,PENSACOLA,FL,32504,Escambia,(850) 479-5938,4,For profit,10/01/2008,54
102025,KINDRED HOSPITAL THE PALM BEACHES,5555 W BLUE HERON BLVD,-,RIVIERA BEACH,FL,33418,Palm Beach,(561) 840-0754,4,For profit,06/01/2009,68
102026,ADVENTHEALTH CONNERTON,9441 HEALTH CENTER DR,-,LAND O LAKES,FL,34637,Pasco,(813) 971-3700,4,Non-profit,11/01/2009,77
102027,KINDRED HOSPITAL MELBOURNE,765 W NASA BLVD,-,MELBOURNE,FL,32901,Brevard,(321) 733-5725,4,For profit,08/01/2010,60
102028,SELECT SPECIALTY HOSPITAL - THE VILLAGES,5050 COUNTY ROAD 472,-,OXFORD,FL,34484,Sumter,(352) 689-6400,4,For profit,07/01/2012,40
102029,SELECT SPECIALTY HOSPITAL-FORT MYERS,3050 CHAMPION RING ROAD,-,FORT MYERS,FL,33905,Lee,(708) 363-4925,4,For profit,09/01/2015,60
102030,SELECT SPECIALTY HOSPITAL DAYTONA BEACH,301 MEMORIAL MEDICAL PARKWAY,-,DAYTONA BEACH,FL,32117,Volusia,(386) 871-2014,4,For profit,12/01/2015,34
102031,SELECT SPECIALTY HOSPITAL-MIAMI LAKES,14001 NW 82ND AVENUE,-,MIAMI LAKES,FL,33016,Miami-Dade,(786) 609-9200,4,For profit,04/01/2016,60
112000,WELLSTAR ROOSEVELT LONG TERM ACUTE CARE AT WARM SP,"6135 ROOSEVELT HIGHWAY, P O BOX 280",-,WARM SPRINGS,GA,31830,Meriwether,(706) 655-5515,4,Government,07/01/1974,32
112003,SHEPHERD CENTER,2020 PEACHTREE RD NW,-,ATLANTA,GA,30309,Fulton,(404) 350-7311,4,Non-profit,04/01/1984,152
112004,"SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA, LLC","705 JUNIPER STREET, NE",-,ATLANTA,GA,30308,Fulton,(404) 873-2871,4,For profit,04/30/1991,72
112006,EMORY LONG TERM ACUTE CARE,450 NORTH CANDLER STREET,-,DECATUR,GA,30030,DeKalb,(404) 377-0221,4,Non-profit,11/15/1996,76
112007,WELLSTAR WINDY HILL HOSPITAL,2540 WINDY HILL ROAD,-,MARIETTA,GA,30067,Cobb,(770) 644-1081,4,Non-profit,07/01/1997,115
112011,"SELECT SPECIALTY HOSPITAL - SAVANNAH, INC",800 E 68TH STREET,-,SAVANNAH,GA,31405,Chatham,(912) 819-7986,4,Non-profit,05/01/2003,40
112012,"COLUMBUS SPECIALTY HOSPITAL, INC",616 19TH STREEET,-,COLUMBUS,GA,31901,Muscogee,(706) 494-4075,4,For profit,01/01/2004,30
112013,"SELECT SPECIALTY HOSPITAL - AUGUSTA, INC",1537 WALTON WAY,-,AUGUSTA,GA,30904,Richmond,(706) 731-1200,4,For profit,04/01/2004,30
112016,"REGENCY HOSPITAL COMPANY OF MACON, LLC",535 COLISEUM DRIVE,-,MACON,GA,31217,Bibb,(478) 803-7300,4,Non-profit,11/01/2004,34
112017,"LANDMARK HOSPITAL OF ATHENS, LLC",775 SUNSET DRIVE,-,ATHENS,GA,30606,Clarke,(706) 425-1518,4,For profit,02/01/2009,42
112019,SOUTH GEORGIA SPECIALTY HOSPITAL,2000 PALMYRA RD 3RD FLOOR,-,ALBANY,GA,31701,Dougherty,(706) 392-5556,4,For profit,10/01/2025,-
122001,LEAHI HOSPITAL,3675 KILAUEA AVENUE,-,HONOLULU,HI,96816,Honolulu,(808) 733-8000,9,Government,01/01/1969,9
132001,NORTHERN IDAHO ADVANCED CARE HOSPITAL,600 NORTH CECIL ROAD,-,POST FALLS,ID,83854,Kootenai,(208) 262-2800,10,For profit,10/01/2006,40
132002,VIBRA HOSPITAL OF BOISE,6651 W FRANKLIN ROAD,-,BOISE,ID,83709,Ada,(208) 489-9500,10,Non-profit,02/01/2009,60
142008,KINDRED HOSPITAL - CHICAGO,365 E NORTH AVE,-,NORTHLAKE,IL,60164,Cook,(773) 267-2620,5,For profit,02/01/1992,258
142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,5601 S COUNTY LINE RD,-,HINSDALE,IL,60521,Cook,(630) 286-4123,5,Non-profit,06/01/1997,189
142011,HOLY FAMILY MEDICAL CENTER,100 NORTH RIVER ROAD,-,DES PLAINES,IL,60016,Cook,(847) 813-3176,5,Non-profit,03/01/2006,238
142013,OSF HEALTHCARE DIVINE MERCY CONTINUING CARE HOSP,500 W ROMEO B GARRETT AVENUE,-,PEORIA,IL,61605,Peoria,(309) 680-1500,5,Non-profit,05/01/2010,50
142015,"RUSH SPECIALTY HOSPITAL, LLC",516 S LOOMIS ST,-,CHICAGO,IL,60607,Cook,(872) 298-9199,5,For profit,12/01/2024,-
152007,KINDRED HOSPITAL INDIANAPOLIS,1700 W 10TH ST,-,INDIANAPOLIS,IN,46222,Marion,(317) 636-4400,5,For profit,02/01/1994,59
152013,KINDRED HOSPITAL INDIANAPOLIS NORTH,8060 KNUE ROAD,-,INDIANAPOLIS,IN,46250,Marion,(317) 813-8900,5,For profit,09/01/1996,45
152014,SELECT SPECIALTY HOSPITAL-EVANSVILLE,400 SE 4TH ST,-,EVANSVILLE,IN,47713,Vanderburgh,(812) 421-2330,5,For profit,01/01/1997,60
152020,ASCENSION ST VINCENT SETON SPECIALTY HOSPITAL,8050 TOWNSHIP LINE RD,-,INDIANAPOLIS,IN,46260,Marion,(317) 415-8500,5,Non-profit,02/08/2003,74
152024,REGENCY HOSPITAL OF NORTHWEST INDIANA,4321 FIR ST 4TH FL,-,EAST CHICAGO,IN,46312,Lake,(219) 392-7799,5,For profit,02/01/2004,61
152025,CENTRAL INDIANA AMG SPECIALTY HOSPITAL LLC,2401 W UNIVERSITY AVE 5TH FLOOR EAST TOWER,-,MUNCIE,IN,47303,Delaware,(765) 751-5253,5,For profit,02/16/2005,32
152028,NW INDIANA-AMG SPECIALTY HOSPITAL,9509 GEORGIA STREET,-,CROWN POINT,IN,46307,Lake,(219) 472-2200,5,For profit,02/01/2009,40
162001,SELECT SPECIALTY HOSPITAL - QUAD CITIES,1227 EAST RUSHOLME STREET,-,DAVENPORT,IA,52803,Scott,(563) 468-2000,7,For profit,02/01/2007,50
162003,SELECT SPECIALTY HOSPITAL - DES MOINES,"1111 6TH AVENUE, 4TH FLOOR MAIN",-,DES MOINES,IA,50314,Polk,(515) 247-4400,7,For profit,01/01/2015,30
172004,HIGHCREST HOSPITAL OF OVERLAND PARK,6509 WEST 103RD STREET,-,OVERLAND PARK,KS,66212,Johnson,(913) 649-3701,7,For profit,06/01/1995,56
172005,SELECT SPECIALTY HOSPITAL OF KS CITY,1731 NORTH 90TH STREET,-,KANSAS CITY,KS,66112,Wyandotte,(913) 732-5930,7,For profit,04/30/1996,40
172007,SELECT SPECIALTY HOSPITAL WICHITA,"929 NORTH ST FRANCIS, 6TH FLOOR, NORTH TOWER",-,WICHITA,KS,67214,Sedgwick,(316) 261-8303,7,For profit,01/01/2001,48
182001,KINDRED HOSPITAL LOUISVILLE,1313 SAINT ANTHONY PLACE,-,LOUISVILLE,KY,40204,Jefferson,(502) 587-7001,4,Non-profit,10/01/1995,367
182002,"CONTINUING CARE HOSPITAL, INC",ONE SAINT JOSEPH DRIVE,-,LEXINGTON,KY,40504,Fayette,(859) 268-4800,4,Non-profit,02/27/2002,57
182003,SELECT SPECIALTY HOSPITAL - CENTRAL KENTUCKY,"217 SOUTH THIRD STREET, 4TH FLOOR",-,DANVILLE,KY,40422,Boyle,(859) 226-7178,4,For profit,06/01/2003,41
182004,SELECT SPECIALTY HOSPITAL-NORTHERN KENTUCKY,85 NORTH GRAND AVENUE THREE CENTER 3RD FLR CENTER,-,FORT THOMAS,KY,41075,Campbell,(859) 572-3880,4,Non-profit,09/01/2004,33
182005,COMMONWEALTH REGIONAL SPECIALTY HOSPITAL,250 PARK DRIVE 5TH FLOOR,-,BOWLING GREEN,KY,42101,Warren,(270) 796-6200,4,Non-profit,02/01/2005,28
182006,CONTINUECARE HOSPITAL AT BAPTIST HEALTH CORBIN,"ONE TRILLIUM WAY, LOWER LEVEL",-,CORBIN,KY,40701,Knox,(606) 523-5150,4,Non-profit,03/01/2005,32
182008,CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,"2501 KENTUCKY AVENUE, 5TH FLOOR",-,PADUCAH,KY,42003,McCracken,(270) 575-2597,4,Non-profit,04/01/2016,37
182009,CONTINUECARE HOSPITAL AT BAPTIST HLTH MADISONVILLE,"900 HOSPITAL DRIVE, 4TH FLOOR",-,MADISONVILLE,KY,42431,Hopkins,(270) 825-5450,4,Non-profit,04/01/2016,35
182010,ARH ADVANCED CARE - BIG SANDY,"260 HOSPITAL DRIVE, SUITE 1 EAST",-,SOUTH WILLIAMSON,KY,41503,Pike,(606) 237-4960,4,Non-profit,09/16/2023,25
182011,ARH ADVANCED CARE - KY RIVER,"102 MEDICAL CENTER DRIVE, SUITE B",-,HAZARD,KY,41701,Perry,(606) 487-7980,4,Non-profit,04/01/2024,-
192004,BATON ROUGE SPECIALTY HOSPITAL,5130 MANCUSO LANE,-,BATON ROUGE,LA,70809,East Baton Rouge,(225) 490-9600,6,For profit,09/18/1988,54
192006,CORNERSTONE POST ACUTE CARE OF BOSSIER,4900 MEDICAL DRIVE,-,BOSSIER CITY,LA,71112,BOSSIER,(318) 747-9500,6,For profit,09/30/1991,62
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,1101 MEDICAL CENTER BLVD 4TH FLOOR,-,MARRERO,LA,70072,Jefferson,(504) 349-2584,6,For profit,06/01/1992,39
192008,SAGE SPECIALTY HOSPITAL,8375 FLORIDA BLVD,-,DENHAM SPRINGS,LA,70726,Livingston,(225) 665-2664,6,For profit,01/01/1993,93
192010,INTENSIVE SPECIALTY HOSPITAL,1800 IRVING PLACE,-,SHREVEPORT,LA,71101,Caddo,(318) 425-4096,6,Non-profit,01/01/1994,220
192011,PAM HEALTH SPECIALTY HOSPITAL OF SHREVEPORT,"1541 KINGS HWY, 10TH FL",-,SHREVEPORT,LA,71104,Caddo,(318) 212-3200,6,For profit,01/01/1994,24
192013,SAGE SPECIALTY HOSPITAL OF LAKE CHARLES,"524 DR MICHAEL DEBAKEY DRIVE, 3RD FLOOR",-,LAKE CHARLES,LA,70601,Calcasieu,(337) 310-6033,6,For profit,03/01/1995,33
192015,OCHSNER EXTENDED CARE HOSPITAL,"2614 JEFFERSON HWY, 2ND FLOOR",-,JEFFERSON,LA,70121,Jefferson,(504) 464-8590,6,For profit,08/01/1995,35
192016,SPECIALTY HOSPITAL,"309 JACKSON STREET, 7TH FLOOR",-,MONROE,LA,71201,Ouachita,(318) 966-4126,6,For profit,07/01/1995,32
192028,RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT STREET,-,VIDALIA,LA,71373,CONCORDIA,(318) 336-6500,6,Non-profit,01/01/2001,40
192029,LAFAYETTE - A M G SPECIALTY HOSPITAL,"4811 AMBASSADOR CAFFERY PKWY, 4TH FLOOR",-,LAFAYETTE,LA,70506,Lafayette,(337) 456-8201,6,For profit,01/01/2001,46
192031,CORNERSTONE SPECIALTY HOSPITALS WEST MONROE,6198 CYPRESS STREET,-,WEST MONROE,LA,71291,Ouachita,(318) 396-5600,6,For profit,01/01/2002,47
192032,LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,"2810 AMBASSADOR CAFFERY PARKWAY, 6TH FLOOR",-,LAFAYETTE,LA,70506,Lafayette,(337) 289-8180,6,For profit,01/01/2002,84
192035,LOUISIANA EXTENDED CARE HOSPITAL OF NATCHITOCHES,501 KEYSER AVE 4TH FLOOR,-,NATCHITOCHES,LA,71457,Natchitoches,(318) 354-2044,6,For profit,03/28/2002,20
192036,P A M SPECIALTY HOSPITAL OF HAMMOND,42074 VETERANS AVENUE,-,HAMMOND,LA,70403,Tangipahoa,(985) 902-8148,6,For profit,09/01/2002,40
192037,HOUMA - AMG SPECIALTY HOSPITAL,629 DUNN STREET,-,HOUMA,LA,70360,Terrebonne,(985) 274-0001,6,For profit,05/31/2002,40
192041,ZACHARY - A M G SPECIALTY HOSPITAL,"4601 MCHUGH ROAD, BLDG B",-,ZACHARY,LA,70791,East Baton Rouge,(225) 683-1600,6,For profit,01/10/2003,16
192043,RIVERSIDE HOSPITAL OF LOUISIANA,13 HEYMAN LANE,-,ALEXANDRIA,LA,71303,RAPIDES,(318) 767-2900,6,For profit,08/01/2003,28
192048,P A M SPECIALTY HOSPITAL OF COVINGTON,20050 CRESTWOOD BLVD,-,COVINGTON,LA,70433,St. Tammany,(985) 875-7525,6,For profit,01/30/2004,58
192057,SAGE SPECIALTY AND REHABILITATION CENTER OF LAFAYE,"204 ENERGY PKWY., SUITE B",-,LAFAYETTE,LA,70508,Lafayette,(337) 446-4300,6,For profit,01/01/2022,48
192058,SOUTHEAST REGIONAL MEDICAL CENTER,719 AVENUE G,-,KENTWOOD,LA,70444,Tangipahoa,(337) 603-6364,6,Non-profit,09/01/2022,14
212002,WESTERN MARYLAND HOSPITAL CENTER,1500 PENNSYLVANIA AVENUE,-,HAGERSTOWN,MD,21742,Washington,(301) 745-4140,3,Government,07/01/1966,123
212003,DEER'S HEAD CENTER,351 DEER'S HEAD HOSPITAL ROAD,-,SALISBURY,MD,21801,Wicomico,(410) 543-4010,3,Government,06/26/1991,66
222000,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,1575 CAMBRIDGE STREET,-,CAMBRIDGE,MA,02138,Middlesex,(617) 876-4344,1,Non-profit,07/01/1966,180
222002,PAM HEALTH SPECIALTY HOSPITAL OF STOUGHTON,909 SUMNER STREET 1ST FLOOR,-,STOUGHTON,MA,02072,Norfolk,(781) 297-8200,1,For profit,07/01/1966,198
222003,TEWKSBURY HOSPITAL,365 EAST STREET,-,TEWKSBURY,MA,01876,Middlesex,(978) 851-7321,1,Government,07/01/1966,760
222006,LEMUEL SHATTUCK HOSPITAL,170 MORTON STREET,-,JAMAICA PLAIN,MA,02130,Suffolk,(617) 522-8110,1,Government,07/01/1966,260
222007,HEBREW REHABILITATION CENTER,1200 CENTRE STREET,-,BOSTON,MA,02131,Suffolk,(617) 325-8000,1,Non-profit,07/01/1966,675
222023,WESTERN MASSACHUSETTS HOSPITAL,91 EAST MOUNTAIN ROAD,-,WESTFIELD,MA,01085,Hampden,(413) 562-4131,1,Government,07/01/1966,102
222043,VIBRA HOSPITAL OF SOUTHEASTERN MASSACHUSETTS,4499 ACUSHNET AVENUE,-,NEW BEDFORD,MA,02745,Bristol,(508) 995-6900,1,For profit,01/01/1993,90
222046,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,"111 HUNTOON MEMORIAL HIGHWAY, 1ST FLOOR",-,ROCHDALE,MA,01542,Worcester,(413) 787-6700,1,For profit,04/13/2001,174
222047,WHITTIER REHABILITATION HOSPITAL - BRADFORD,145 WARD HILL AVENUE,-,BRADFORD,MA,01835,Essex,(978) 372-8000,1,For profit,10/01/2005,60
222048,WHITTIER REHABILITATION HOSPITAL,150 FLANDERS ROAD,-,WESTBOROUGH,MA,01581,Worcester,(508) 871-2063,1,For profit,10/01/2005,88
232012,SELECT SPECIALTY HOSPITAL-FLINT,"401 S BALLENGER, 5TH FLOOR",-,FLINT,MI,48532,Genesee,(810) 342-4550,5,For profit,02/01/1998,36
232019,VIBRA HOSPITAL OF SOUTHEASTERN MI-TAYLOR CAMPUS,10000 TELEGRAPH ROAD,-,TAYLOR,MI,48180,Wayne,(555) 333-1111,5,For profit,07/01/1991,220
232023,SELECT SPECIALTY HOSPITAL-MACOMB COUNTY,"215 NORTH AVE, SUITE 200",-,MOUNT CLEMENS,MI,48043,Macomb,(586) 307-9000,5,For profit,01/01/1999,36
