ccn,hospital,system_id,system_label,source_note
050152,UCSF HEALTH SAINT FRANCIS HOSPITAL,university_of_california,University of California,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,providence,Providence,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,john_muir_health,John Muir Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050195,WASHINGTON HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050197,SEQUOIA HOSPITAL,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050211,ALAMEDA HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050222,SHARP CHULA VISTA MEDICAL CENTER,sharp_healthcare,Sharp HealthCare,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050228,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050232,FRENCH HOSPITAL MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,sharp_healthcare,Sharp HealthCare,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050243,DESERT REGIONAL MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050245,ARROWHEAD REGIONAL MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050257,"GOOD SAMARITAN HOSPITAL, LP",independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050272,REDLANDS COMMUNITY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050276,CONTRA COSTA REGIONAL MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050279,HI-DESERT MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050283,STANFORD HEALTH CARE TRI-VALLEY,stanford_medicine,Stanford Medicine,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050289,AHMC SETON MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050291,SUTTER SANTA ROSA REGIONAL HOSPITAL,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050295,MERCY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050298,BARSTOW COMMUNITY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050300,PROVIDENCE ST MARY MEDICAL CENTER,providence,Providence,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050308,EL CAMINO HEALTH,el_camino_health,El Camino Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050315,KERN MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050320,HIGHLAND HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,scripps_health,Scripps Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050327,LOMA LINDA UNIVERSITY MEDICAL CENTER,loma_linda_university_health,Loma Linda University Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050329,CORONA REGIONAL MEDICAL CENTER,southwest_healthcare_uhs_,Southwest Healthcare (UHS),CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050360,MARINHEALTH MEDICAL CENTER,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050380,GOOD SAMARITAN HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050390,HEMET GLOBAL MEDICAL CENTER,kpc_health,KPC Health,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050407,CHINESE HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050417,SUTTER COAST HOSPITAL,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050424,SCRIPPS GREEN HOSPITAL,scripps_health,Scripps Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050441,STANFORD HEALTH CARE,stanford_medicine,Stanford Medicine,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050454,UCSF MEDICAL CENTER,university_of_california,University of California,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050455,ADVENTIST HEALTH BAKERSFIELD,adventist_health,Adventist Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050457,UCSF HEALTH ST. MARY'S HOSPITAL,university_of_california,University of California,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050488,EDEN MEDICAL CENTER,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,john_muir_health,John Muir Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,scripps_health,Scripps Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050506,ADVENTIST HEALTH SIERRA VISTA,adventist_health,Adventist Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050510,KAISER FOUNDATION HOSPITAL,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050512,KAISER FOUNDATION HOSPITAL - FREMONT,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050515,KAISER FOUNDATION HOSPITAL - ZION,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,kpc_health,KPC Health,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050523,SUTTER DELTA MEDICAL CENTER,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050534,JOHN F KENNEDY MEMORIAL HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050573,EISENHOWER MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050586,CHINO VALLEY MEDICAL CENTER,prime_healthcare,Prime Healthcare,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050608,ADVENTIST HEALTH DELANO,adventist_health,Adventist Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050625,CEDARS-SINAI MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050633,ADVENTIST HEALTH TWIN CITIES,adventist_health,Adventist Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050636,PALOMAR MEDICAL CENTER POWAY,palomar_health,Palomar Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050668,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050684,MENIFEE GLOBAL MEDICAL CENTER,kpc_health,KPC Health,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050689,SAN RAMON REGIONAL MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050701,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL,southwest_healthcare_uhs_,Southwest Healthcare (UHS),CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050709,DESERT VALLEY HOSPITAL,prime_healthcare,Prime Healthcare,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050758,MONTCLAIR HOSPITAL MEDICAL CENTER,prime_healthcare,Prime Healthcare,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,loma_linda_university_health,Loma Linda University Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050775,TEMECULA VALLEY HOSPITAL,southwest_healthcare_uhs_,Southwest Healthcare (UHS),CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,loma_linda_university_health,Loma Linda University Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050855,KAISER FOUNDATION HOSPITAL - SAN MARCOS,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
